,name,price,discount
83,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
84,Lakmé Absolute Matte Ultimate Lip Color with Argan Oil,₹554,30% off
85,MISS ROSE Lipstick Matte Waterproof Shade,₹158,47% off
86,Marie Claire Paris Creamy Matte Lipstick with She butte...,₹213,35% off
87,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
88,MamaEarth Naturally Matte Lip Serum - Matte Liquid Lips...,₹484,19% off
89,NY bae Confessions of a Lip-a-holic Liquid Lipstick | P...,₹195,25% off
90,ZLENT (CHUBS) 5 IN 1 TRUE COLORS LIPSTICK,₹149,50% off
91,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
92,LOWPRICE Cosmetics 5 in 1 Lipstick pack 2,₹220,55% off
93,MI FASHION Rich Colors Cr�me Matte Smooth Lipstick Comb...,₹361,39% off
94,MISS ROSE MK Bullet - 35,₹172,42% off
95,MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick,₹266,23% off
96,MamaEarth Naturally Matte Lip Serum - Matte Liquid Lips...,₹484,19% off
97,"MAYBELLINE NEW YORK Super Stay Ink Crayon Lipstick, Cha...",₹388,35% off
98,Iba Moisture Rich lipstick Combo,₹425,15% off
99,MICIO Lucious Lips,₹120,55% off
100,BLUE HEAVEN Hyperstay Liquid Matte,₹531,29% off
101,Lakmé 9TO5 Primer + Matte Lip Color Blush Pink,₹490,6% off
102,teayason Sensational Liquid Matte SuperStay Professiona...,₹349,56% off
103,AngelX Crazy Matte Me Liquid Lipstick,₹149,25% off
104,Lakmé 9TO5 Primer + Matte Lip Color Pink Rose,₹445,15% off
105,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
106,SUGAR Cosmetics Fiery Lips Mini Lipstick Set,₹799,20% off
107,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
108,MISS ROSE Rewarm Matter Lipstick (35),₹158,47% off
109,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹284,18% off
110,MamaEarth Naturally Matte Lip Serum - Matte Liquid Lips...,₹484,19% off
111,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹210,29% off
112,Lakmé 9TO5 Primer + Matte Lip Color Rustic Brown,₹393,25% off
113,Pink line Liquid Matte Lipstick,₹374,58% off
114,"COLOR GEL High Definition Waterproof, liquid Matte Lips...",₹149,50% off
115,Seven Seas Lip Duo 2 In 1 Liquid Lipstick with Lipstick...,₹170,32% off
116,NYN HUDA Insta Beauty 5 in 1 Creamy Lipsticks + Liquid ...,₹255,63% off
117,MISS ROSE Gorgo Girl Matte lipstick (48),₹157,47% off
118,MAYBELLINE NEW YORK Color Sensational Ultimattes Lipsti...,₹438,20% off
119,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹312,10% off
120,"BIOTIQUE Magicolor Lipstick, Fire Me Up",₹102,18% off
121,MAYBELLINE NEW YORK Super Stay Matte Ink Liquid Lipstic...,₹592,8% off
122,MAYBELLINE NEW YORK Superstay Matte Ink Brooklyn Blush ...,₹699,0
123,Lakmé Forever Matte Liquid Lip Colour -,₹215,27% off
124,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹283,5% off
125,RONZILLE Matte Liquid Lipstick Smudge proof set of 12,₹449,65% off
126,MamaEarth Naturally Matte Lip Serum - Matte Liquid Lips...,₹484,19% off
127,Lakmé Enrich Matte Lipstick,₹225,23% off
128,Lakmé 9TO5 Primer + Matte Lip Color Brick Blush,₹497,0
129,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹299,0
130,Renee Check Matte Liquid Lip Color - Tower of Wine,₹299,14% off
131,Lakmé Forever Matte Liquid Lip Colour,₹226,23% off
132,RONZILLE Pocket Matte Mini Lipstick Set of 10 Lipstick,₹249,68% off
133,Lakmé Absolute 3D Lipstick,₹581,27% off
134,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹284,18% off
135,Lakmé Cushion Matte Lipstick,₹191,32% off
136,Lakmé 9TO5 Primer + Matte Lip Color Rose Day,₹497,5% off
137,NYN HUDA Insta Beauty 5 in 1 Forever Creamy Matte Lipst...,₹224,62% off
138,NYN HUDA Insta Beauty Forever Matte Liquid Lip Lipstick...,₹190,68% off
139,Lakmé 9TO5 Primer + Matte Lip Color,₹350,30% off
140,SUGAR Cosmetics Nothing Else Matter Longwear Lipstick,₹499,0
141,MISS ROSE Professional Matte Long Lasting Lipstick - (B...,₹155,48% off
142,Renee Fab 10 Combo,₹995,33% off
143,Lakmé Absolute Precision Lip Paint,₹527,18% off
144,MISS ROSE 2 In 1 Double Ends Lip Liner Pencil Waterproo...,₹191,52% off
145,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹279,20% off
146,MAYBELLINE NEW YORK Color Sensational Ultimattes Lipsti...,₹438,20% off
147,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
148,RONZILLE Fantastic 5 Step Lipstick 5 in 1 Lipstick Pack...,₹279,72% off
149,Marie Claire Paris Matte My Match,₹379,42% off
150,Sh.Huda MINI BEAUTY SWISS EDITION RED EDITION LIPSTICK ...,₹194,61% off
151,Iba Pure Lips Moisture Rich Lipstick Shade,₹210,16% off
152,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹283,5% off
153,MISS ROSE Pretty Matte Lipstick Long Lasting Moisturize...,₹177,40% off
154,CARA MIA by Flipkart Kiss of Love Liquid Matte Lip,₹222,73% off
